C_LOC_MEV;NOMBRE DEL PROGRAMA;PROGRAMA;PROGRAMA II;ENTREGADA;AÑO;N;TP;PU;AR;UP;MP
13522;TRANQUERAS VI;NÚCLEO;NÚCLEO;16/03/2018;2018;59;0;0;0;0;0
13522;TRANQUERAS PU I;PU;PU;16/03/2018;2018;0;0;14;0;0;0
13522;TRANQUERAS AR II PL;AR;AR;16/03/2018;2018;0;0;0;3;0;0
16925;CAPURRO N III;NÚCLEO;AUTOCONSTRUCCIÓN;25/01/2018;2018;3;0;0;0;0;0
11621;JUZGADO QUEBRACHO -  PODER JUDICIAL;OTROS;CONVENIO;25/01/2018;2018;0;0;0;0;0;0
10940;AZNAREZ PU I;PU;PU;21/12/2017;2017;0;0;2;0;0;0
10940;AZNAREZ II;NÚCLEO;NÚCLEO;21/12/2017;2017;48;0;0;0;0;0
12797;ALGORTA III;NÚCLEO;NÚCLEO;19/12/2017;2017;25;0;0;0;0;0
3840;TAPIA PU I;PU;PU;18/12/2017;2017;0;0;1;0;0;0
3840;ESTACION TAPIA UP;UP;UP;18/12/2017;2017;0;0;0;0;19;0
19722;LA CHARQUEADA V;NÚCLEO;NÚCLEO;15/12/2017;2017;40;0;0;0;0;0
19722;LA CHARQUEADA PU I;PU;PU;15/12/2017;2017;0;0;5;0;0;0
3730;SAN ANTONIO AR I;AR;AR;08/12/2017;2017;0;0;0;1;0;0
3730;SAN ANTONIO III;NÚCLEO;NÚCLEO;08/12/2017;2017;50;0;0;0;0;0
3730;SAN ANTONIO IV;NÚCLEO;NÚCLEO;08/12/2017;2017;49;0;0;0;0;0
3730;SAN ANTONIO PU I;PU;PU;08/12/2017;2017;0;0;8;0;0;0
