CODCOMP,H_TOT,P_TOT,H_PAR,P_TOT_PAR
109002001,51,161,51,161
109002002,56,181,56,181
109002003,52,170,52,170
109002004,39,144,38,121
109002005,56,181,56,181
109003001,1,4,1,4
109003002,68,223,68,223
109003003,49,148,49,148
109003004,41,111,41,111
109003005,28,93,28,93
109003006,28,72,28,72
109003008,23,70,23,70
109003009,18,49,18,49
109003010,0,0,0,0
109003011,37,104,37,104
109003012,16,50,16,50
109003013,34,110,34,110
109003014,72,228,72,228
109003015,29,102,29,102
109003600,39,123,39,123
109003601,0,0,0,0
109003602,11,37,11,37
109003603,18,57,18,57
109003604,1,154,0,0
109003605,0,0,0,0
109004002,32,92,32,92
109004004,34,117,34,117
109004006,0,0,0,0
109004007,17,46,17,46
109004400,0,0,0,0
109004401,0,0,0,0
109004402,0,0,0,0
109004600,45,133,45,133
109004601,18,82,17,45
109004602,39,105,39,105
109004603,1,2,1,2
109004604,7,22,7,22
109004801,25,69,25,69
109005001,92,255,92,255
109005002,24,66,24,66
109005004,35,94,35,94
109005400,0,0,0,0
109005401,0,0,0,0
109005600,51,167,51,167
109005601,37,128,37,128
109005602,0,0,0,0
109005603,1,4,0,0
109005604,43,133,43,133
109005605,32,91,32,91
109005802,113,340,113,340
109006001,116,365,116,365
109006002,102,394,102,394
109006003,5,12,5,12
109007004,45,134,45,134
109007800,1,2,1,2
109007803,71,194,71,194
109007804,29,101,29,101
109008001,42,109,42,109
109008002,42,140,42,140
109008003,37,110,37,110
109008004,36,112,36,112
109008005,47,146,47,146
109008006,44,120,44,120
109008007,68,215,68,215
109008600,18,53,18,53
109008601,18,57,18,57
109008602,27,77,27,77
109008603,19,59,19,59
109009003,33,102,33,102
109009004,48,135,48,135
109009005,37,122,37,122
109009006,34,118,33,97
109009600,61,183,61,183
109009601,153,389,153,389
109009602,1,3,1,3
109009603,4,14,4,14
109010001,35,101,35,101
109010002,29,83,29,83
109010003,39,108,39,108
109010004,0,0,0,0
109010005,0,0,0,0
109010006,19,50,19,50
109010007,51,128,51,128
109010008,2,10,2,10
109011002,67,192,67,192
109011003,59,171,59,171
109011004,52,151,52,151
109011005,48,138,48,138
109011006,57,158,57,158
109012001,53,153,53,153
109012004,54,190,54,190
109012400,0,0,0,0
109012401,0,0,0,0
109012800,38,109,38,109
109013001,44,145,44,145
109013002,19,50,19,50
109013003,36,92,36,92
109013004,24,81,24,81
109013005,33,100,33,100
109013006,36,119,35,109
109014001,41,133,40,116
109014002,2,59,0,0
109014003,42,108,42,108
109014004,68,190,68,190
109014005,71,196,71,196
109015001,47,148,47,148
109015002,50,162,48,132
109015003,77,238,77,238
109015004,116,355,116,355
109016001,29,85,29,85
109016002,52,148,52,148
109016003,26,78,26,78
109016004,23,70,23,70
109016005,25,71,25,71
109016006,13,43,13,43
109018002,148,348,148,348
109018003,14,32,14,32
109018004,27,89,27,89
109018008,44,161,44,161
109018009,28,98,28,98
109018010,33,112,33,112
109018011,32,123,32,123
109018013,65,233,65,233
109018014,63,226,63,226
109018016,11,24,11,24
109018500,0,0,0,0
109018600,13,42,13,42
109018601,2,7,2,7
109018800,41,173,41,173
109018801,3,8,3,8
109018802,9,31,9,31
109019001,0,0,0,0
109019002,1,1,1,1
109019005,29,98,29,98
109019008,0,0,0,0
109019009,0,0,0,0
109019010,0,0,0,0
109019011,0,0,0,0
109019012,13,47,13,47
109019015,0,0,0,0
109019400,0,0,0,0
109019401,0,0,0,0
109019600,22,75,22,75
109019800,78,251,78,251
109019802,13,39,13,39
109019803,6,19,6,19
109020002,46,134,46,134
109020003,40,146,39,120
109020005,0,0,0,0
109020400,0,0,0,0
109020401,0,0,0,0
109020600,23,81,23,81
109020800,38,153,37,122
109021001,100,320,100,320
109021002,32,96,32,96
109021003,50,114,50,114
109021004,33,104,32,89
109021005,24,70,23,69
109021006,79,219,79,219
109021007,37,100,37,100
109021008,0,0,0,0
109021402,0,0,0,0
109021403,0,0,0,0
109022001,41,110,40,107
109022002,103,297,103,297
109022003,52,137,52,137
109022004,8,25,8,25
109022006,9,34,9,34
109022007,2,2,2,2
109022008,0,0,0,0
109022009,5,8,5,8
109022010,41,91,41,91
109022011,0,0,0,0
109022404,0,0,0,0
109022406,0,0,0,0
109022407,0,0,0,0
109022408,0,0,0,0
109023001,76,190,76,190
109023002,84,253,84,253
109023003,21,50,21,50
109023004,30,100,30,100
109023401,0,0,0,0
109024001,46,138,45,132
109024002,74,246,74,246
109024003,77,208,76,200
109024004,65,176,65,176
109024005,28,77,28,77
109025001,73,191,72,179
109025002,79,211,79,211
109025003,55,159,55,159
109025005,57,156,57,156
109025006,0,0,0,0
109025007,56,161,56,161
109025008,48,137,48,137
109025009,36,106,36,106
109025010,58,169,58,169
109025012,9,30,9,30
109025400,0,0,0,0
109025401,0,0,0,0
109025402,0,0,0,0
109025403,0,0,0,0
109025404,0,0,0,0
109025600,45,115,45,115
109025800,29,79,29,79
109026002,18,60,18,60
109026003,30,91,30,91
109026011,20,63,20,63
109026012,22,100,22,100
109026013,23,88,23,88
109026014,15,51,15,51
109026015,24,102,24,102
109026016,30,113,30,113
109026017,24,75,24,75
109026021,32,95,32,95
109026022,32,117,32,117
109026023,29,105,29,105
109026024,19,84,19,84
109026025,24,100,24,100
109026026,23,60,23,60
109026027,61,196,61,196
109026028,38,135,38,135
109026029,27,94,27,94
109026030,16,73,16,73
109026031,43,140,43,140
109026800,116,349,116,349
109027001,51,160,51,160
109027003,34,104,34,104
109027004,77,191,77,191
109027005,77,252,77,252
109027500,0,0,0,0
109027800,64,167,64,167
109027801,15,51,14,39
109027802,45,122,45,122
109027803,25,74,25,74
109028001,18,54,18,54
109028002,57,163,57,163
109028003,25,68,25,68
109028004,24,81,24,81
109028005,55,173,55,173
109028006,62,161,62,161
109029001,58,178,58,178
109029002,29,83,29,83
109029003,44,119,44,119
109029004,39,109,39,109
109029005,38,102,38,102
109029006,42,116,42,116
109029007,35,90,35,90
109029008,32,95,32,95
109029009,42,117,42,117
109029010,43,113,43,113
109029011,35,120,34,109
109029012,82,207,82,207
109029013,57,171,57,171
109030001,7,18,7,18
109030002,0,0,0,0
109030003,6,12,6,12
109030004,48,150,47,133
109030005,39,105,39,105
109030800,78,236,78,236
109030801,24,78,24,78
109030802,24,52,24,52
109030803,75,234,75,234
109031003,56,152,56,152
109031004,46,147,46,147
109031005,46,134,46,134
109031006,0,0,0,0
109031007,30,77,30,77
109031800,32,114,32,114
109031801,17,63,17,63
109031802,47,165,47,165
109031803,57,188,57,188
109032001,118,338,118,338
109032002,100,293,100,293
109032003,34,91,34,91
109032004,41,128,41,128
109032005,33,79,33,79
109032006,36,108,36,108
109032007,19,57,19,57
109032008,35,93,35,93
109032009,0,0,0,0
109032010,40,97,40,97
109032011,29,87,29,87
109032012,39,113,38,106
109033001,93,291,93,291
109033002,46,139,46,139
109033003,56,145,56,145
109033004,0,0,0,0
109033005,42,102,42,102
109033006,30,87,30,87
109033007,8,17,8,17
109033008,18,49,18,49
109033009,23,54,23,54
109033010,6,15,6,15
109033011,0,0,0,0
109033012,22,69,22,69
109033013,8,24,8,24
109033014,20,58,20,58
109033015,29,80,28,67
109033016,25,76,25,76
109033017,25,74,25,74
109033600,63,182,63,182
109033601,35,83,35,83
109033602,4,16,4,16
109033603,61,210,61,210
109033800,22,54,22,54
109033801,24,60,24,60
109033802,96,269,96,269
109033803,8,22,8,22
109033901,0,0,0,0
109034002,0,0,0,0
109034003,44,121,44,121
109034007,22,67,22,67
109034008,30,72,30,72
109034009,4,7,4,7
109034010,18,53,18,53
109034011,16,43,16,43
109034014,63,194,60,176
109034016,27,74,27,74
109034402,0,0,0,0
109034403,0,0,0,0
109034404,0,0,0,0
109034405,0,0,0,0
109034406,0,0,0,0
109034407,0,0,0,0
109034600,33,83,33,83
109034601,26,70,26,70
109034602,35,89,35,89
109034603,0,0,0,0
109034604,21,60,21,60
109034605,9,23,9,23
109034606,5,13,5,13
109034607,8,30,8,30
109034800,43,123,43,123
109034801,5,17,5,17
109034802,15,51,15,51
109034803,15,44,15,44
109034804,0,0,0,0
109034901,0,0,0,0
109034902,0,0,0,0
109035001,50,142,50,142
109035002,21,63,21,63
109035003,32,99,32,99
109035004,0,0,0,0
109035005,25,71,25,71
109035006,0,0,0,0
109035008,26,66,26,66
109035010,1,1,1,1
109035011,19,66,19,66
109035012,36,113,36,113
109035015,42,122,42,122
109035017,0,0,0,0
109035019,27,76,27,76
109035400,0,0,0,0
109035401,0,0,0,0
109035402,0,0,0,0
109035403,0,0,0,0
109035501,0,0,0,0
109035601,32,100,32,100
109035602,0,0,0,0
109035603,20,55,20,55
109035604,16,51,16,51
109035605,45,116,45,116
109035606,28,106,28,106
109035607,0,0,0,0
109036001,20,69,20,69
109036002,22,70,22,70
109036003,14,57,14,57
109036004,57,213,57,213
109036005,29,118,29,118
109036007,20,59,20,59
109036008,22,79,22,79
109036009,27,75,27,75
109036010,46,144,46,144
109036012,39,95,39,95
109036013,35,97,35,97
109036016,6,14,6,14
109036017,17,50,17,50
109036018,26,101,26,101
109036019,14,34,14,34
109036020,4,14,4,14
109036400,0,0,0,0
109036401,0,0,0,0
109036402,0,0,0,0
109036600,24,68,24,68
109036601,0,0,0,0
109036602,1,1,1,1
109037001,28,102,28,102
109037002,19,59,19,59
109037003,12,50,12,50
109037004,45,120,45,120
109037005,42,109,42,109
109037006,32,91,32,91
